"","...1","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.Phase..comparator.","Clinical.State.and.treatment.setting","Primary.End.Point","clinicaltrials.gov.reference","Raw.Text","annotator","STATUS","validator","URL","sheet","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"730",730,"METASTATIC  BREAST CANCER","ERBB2, ESR1, PGR","Positive, Positive/Negative, Positive/Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","T-DM1, PEMBROLIZUMAB","UNK, UNK","I","Advanced, First&Second line","Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]","NCT03032107","must have been tested for ER and PR, does not require them to be +/-. Patients must have either received one line of prior therapy for metastatic breast cancer, or have developed a disease recurrence during or within 6 months after completing adjuvant therapy.","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03032107",1,"DB05773,DB09037","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
"731",731,"BREAST CANCER","ERBB2, ESR1, PGR, Ki67","Negative, Negative, Negative, Positive","AND, AND, AND","Protein Expression, Protein Expression, Protein Expression, Protein Expression","PACLITAXEL, CISPLATIN, EPIRUBICIN, CYCLOPHOSPHAMIDE","UNK, UNK, UNK, UNK, UNK, UNK","III","First line","Number of Participants With Disease-Free Survival (DFS) Events","NCT03201861","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03201861",1,"DB01229,DB00515,DB00445,DB00531","36314, 135804801, 65348, 2907","ENSG00000141736, ENSG00000091831, ENSG00000082175, ENSG00000148773","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND KI67 PROTEIN EXPRESSION POSITIVE","pass"
"732",732,"INVASIVE BREAST CANCER (STAGE I-III)","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","TAMOXIFEN, ENDOCRINE THERAPY, LETROZOLE, PALBOCICLIB","UNK, Hormone Receptors, UNK, UNK","II","Advanced&Non-advanced, First line","Window Phase:To evaluate the difference in anti-proliferative activity of letrozole versus tamoxifen within cohorts of hormone receptor positive breast cancer for patients with invasive lobular and ductal carcinoma. [ Time Frame: 2 years ], Treatment Phase: To evaluate the pathologic complete response (pCR) of endocrine therapy plus palbociclib and of endocrine therapy alone in breast cancer patients diagnosed with hormone receptor positive invasive breast cancer [ Time Frame: 2 Years ]","NCT02764541","different treatment arms got different drug combinations. Preoperative study","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02764541",1,"DB00675,NA,DB01006,DB09073","2733526, NA, 3902, 11478676","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"733",733,"METASTATIC BREAST CANCER","ERBB2","Negative","NA","Protein Expression","ENDOSTAR","angiogenesis","II","Advanced, First&Second line","Progression-free Survival (PFS)","NCT03907098","concurrent with a chemo of the physician's choice. Chemotherapy for recurrent and metastatic lesions should be discontinued for more than 2 weeks.","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03907098",1,"DB11727","NA","ENSG00000141736","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"734",734,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR, TP53","Positive/Negative, Positive/Negative, Positive/Negative, Positive/Negative","AND, AND, AND","Protein Expression, Protein Expression, Protein Expression, Mutation","CYCLOPHOSPHAMIDE","UNK","II","Advanced, Second line","Objective response rate (ORR) measured clinically (with calipers) or radiologically per RECIST guidelines.","NCT02965950","if HR +, it must have progessed on endrocrine therapies. Known tumor ER, PGR and HER2 status in the current situation, i.e. archival and historic breast cancer tissue can not be used for patients with relapse of the disease. However, patients can be included regardless of hormone receptor and HER2 status; in case such information lacks at inclusion, it may be analysed on the biopsy retrospectively.","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02965950",1,"DB00531","2907","ENSG00000141736, ENSG00000091831, ENSG00000082175, ENSG00000141510","EFO_1000984","ERBB2 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE AND TP53 MUTATION POSITIVE/NEGATIVE","pass"
"735",735,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","RIBOCICLIB, FULVESTRANT","UNK, UNK","II","Advanced, First&Second line","Percent progression-free at 24 weeks","NCT02632045","Postmenopausal status or receiving ovarian ablation with a GnRH agonist such as goserelin","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02632045",1,"DB11730,DB00947","44631912, 104741","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"736",736,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Positive, Positive/Negative, Positive/Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","RIBOCICLIB, T-DM1, TRASTUZUMAB, FULVESTRANT","UNK, UNK, UNK, UNK","I/II","Advanced, Second line","Maximum Tolerated Dose (Mtd) And/Or Recommended Phase2 Dose (RP2D), Clinical Benefit Rate (CBR) By RECIST","NCT02657343","different treatment arms got different drug combinations. Preoperative study","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02657343",1,"DB11730,DB05773,DB00072,DB00947","44631912, NA, 3001322, 104741","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
"737",737,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","PALBOCICLIB, LETROZOLE","UNK, UNK","IV","Advanced, First line","Percentage of patients with treatment-emergent averse events (AEs) or serious adverse events (SAEs)","NCT02679755","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02679755",1,"DB09073,DB01006","11478676, 3902","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"738",738,"BREAST CANCER","ESR1, PGR","Positive, Positive","AND/OR","Protein Expression, Protein Expression","ENTINOSTAT, EXEMESTANE","UNK, UNK","I","Second line","Adverse events, 12-lead ECG, blood pressure/pulse, temperature, laboratory parameters and physical examination","NCT02833155","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02833155",1,"DB11841,DB00990","4261, 60198","ENSG00000091831, ENSG00000082175","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"739",739,"METASTATIC BREAST CANCER","ERBB2","Positive/Negative","NA","Protein Expression","ACY-1215, NAB-PACLITAXEL","HDAC6, UNK","I","Advanced, First&Second line","Maximum tolerated dose (MTD) of ACY-1215 (Ricolinostat)","NCT02632071","Study allows all cancer subtypes. However, only lists HER2 specfically in the inclusion criteria","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02632071",1,"NA,NA","53340666, 36314","ENSG00000141736","EFO_1000984","ERBB2 PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
"740",740,"ADVANCED","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","GEMCITABINE, CISPLATIN","UNK, UNK","III","Advanced, First line","PFS (Progression Free Survival)","NCT02546934","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02546934",1,"DB00441,DB00515","60750, 135804801","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0003149","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"741",741,"BREAST CANCER","ERBB2, ESR1, PGR, Ki67","Negative, Positive, Negative, Positive","AND, AND, OR","Protein Expression, Protein Expression, Protein Expression, Protein Expression","CAELYX","UNK","II","First line","Feasibility of adjuvant PLD (Caelyx®)","NCT03712956","Patients must have had surgery for primary breast cancer with no known clinical residual loco-regional disease","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03712956",1,"NA","31703","ENSG00000141736, ENSG00000091831, ENSG00000082175, ENSG00000148773","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION NEGATIVE OR KI67 PROTEIN EXPRESSION POSITIVE","pass"
"742",742,"BREAST CANCER","ERBB2, ESR1, PGR, Ki67","Positive, Positive, Positive/Negative, Positive/Negative","AND, AND, AND","Protein Expression/Protein Expression&Amplification, Protein Expression, Protein Expression, Protein Expression","CAELYX","UNK","II","First line","Feasibility of adjuvant PLD (Caelyx®)","NCT03712956","Patients must have had surgery for primary breast cancer with no known clinical residual loco-regional disease","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03712956",1,"NA","31703","ENSG00000141736, ENSG00000091831, ENSG00000082175, ENSG00000148773","MONDO_0007254","ERBB2 PROTEIN EXPRESSION/PROTEIN EXPRESSION&AMPLIFICATION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE AND KI67 PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
"743",743,"BREAST CANCER (STAGE I-III)","absent","NA","NA","NA","PEGFILGRASTIM, DOXORUBICIN, CYCLOPHOSPHAMIDE","UNK, UNK, UNK","II","Advanced&Non-advanced, First line","the incidence of febrile neutropenia (FN) ","NCT03575520","primarily looking at neutropenia","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03575520",1,"DB00019,DB00997,DB00531","NA, 443939, 2907","ENSG00000104313","MONDO_0007254","ABSENT NA NA","no biomarker"
"744",744,"BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","VISMODEGIB, PACLITAXEL, EPIRUBICIN, CYCLOPHOSPHAMIDE","UNK, UNK, UNK, UNK","II","Advanced&Non-advanced, First line","Number of patients with treatment-related adverse events as assessed by CTCAE v4.0","NCT02694224","Patients with oligometastatic disease (1-2 resectable metastases) could be included","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02694224",1,"DB08828,DB01229,DB00445,DB00531","24776445, 36314, 65348, 2907","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"745",745,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR, EGFR","Negative, Negative, Negative, Positive","AND, AND, AND","Protein Expression, Protein Expression, Protein Expression, Protein Expression","ANTI-EGFR-IL-DOX","EGFR","II","Advanced, First line","Progression-free survival (PFS) ","NCT02833766","Anti-EGFR-immunoliposomes Loaded With Doxorubicin","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02833766",1,"NA","NA","ENSG00000141736, ENSG00000091831, ENSG00000082175, ENSG00000146648","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND EGFR PROTEIN EXPRESSION POSITIVE","failed drug"
"746",746,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","PALBOCICLIB, LETROZOLE","UNK, UNK","III","Advanced, First&Second line","Number of Participants With Adverse Events (AEs) by Seriousness and Relationship to Treatment","NCT02600923","postmenopausal, Patients must be appropriate candidates for letrozole therapy.","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02600923",1,"DB09073,DB01006","11478676, 3902","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"747",747,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","CAPECITABINE, ENDOCRINE THERAPY","UNK, UNK","II","Advanced, Second line","Progression-free survival(PFS)","NCT03204734","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03204734",1,"DB01101,NA","60953, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"748",748,"BREAST CANCER","ERBB2, ESR1, PGR","Positive, Positive/Negative, Positive/Negative","AND, AND","Protein Expression/Protein Expression&Amplification, Protein Expression, Protein Expression","PACLITAXEL, TRASTUZUMAB, PERTUZUMAB, CARBOPLATIN, DOXORUBICIN, CYCLOPHOSPHAMIDE","UNK, UNK, UNK, UNK, UNK, UNK","II","Advanced&Non-advanced, First line","Percent of patients who achieve a pCR","NCT02789657","with surgery. Lists ER/PR testing, but does does not list -/+ requirement","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02789657",1,"DB01229,DB00072,DB06366,DB00958,DB00997,DB00531","36314, 3001322, NA, 56840877, 443939, 2907","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION/PROTEIN EXPRESSION&AMPLIFICATION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
"749",749,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR, PDL1","Negative, Negative, Negative, Positive","AND, AND, AND","Protein Expression, Protein Expression, Protein Expression, Protein Expression","HUMANIZED ANTI-PD-1 ANTIBODY JS001","PD1","I","Advanced, Second line","Number of participants with treatment-related adverse events as assessed by CTCAE v4.0","NCT02838823","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02838823",1,"NA","NA","ENSG00000141736, ENSG00000091831, ENSG00000082175, ENSG00000120217","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND PDL1 PROTEIN EXPRESSION POSITIVE","failed drug"
"750",750,"INVASIVE BREAST CANCER (II-III)","absent","NA","NA","NA","PEGYLATED LIPOSOMAL DOXORUBICIN, CYCLOPHOSPHAMIDE, DOCETAXEL","UNK, UNK, UNK","IV","Advanced&Non-advanced, First line","Pathological complete response rate","NCT03123770","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03123770",1,"NA,DB00531,DB01248","NA, 2907, 148124","ENSG00000104313","MONDO_0007254","ABSENT NA NA","failed drug,no biomarker"
"751",751,"TRIPLE NEGATIVE INVASIVE BREAST CANCER (STAGE I-IIIB)","absent","NA","NA","NA","DOCETAXEL, CARBOPLATIN","UNK, UNK","II","Advanced&Non-advanced, First line","pathologic complete response","NCT03154749","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03154749",1,"DB01248,DB00958","148124, 56840877","ENSG00000104313","EFO_0005537","ABSENT NA NA","no biomarker"
"752",752,"INVASIVE BREAST CANCER (STAGE II-IIIB)","ERBB2","Positive","NA","Protein Expression","DOCETAXEL, CARBOPLATIN, TRASTUZUMAB","UNK, UNK, UNK","II","Advanced&Non-advanced, First line","pathologic complete response","NCT03140553","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03140553",1,"DB01248,DB00958,DB00072","148124, 56840877, 3001322","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE","pass"
"753",753,"METASTATIC BREAST CANCER","ERBB2","Positive","NA","Protein Expression&Amplification/Protein Expression","POZIOTINIB","UNK","II","Advanced, Second line","Objective Response Rate","NCT02659514","At least two prior HER2-directed therapy regimens for breast cancer, including trastuzumab and trastuzumab emtansine (TDM-1, KADCYLA®)","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02659514",1,"DB12114","25127713","ENSG00000141736","EFO_1000984","ERBB2 PROTEIN EXPRESSION&AMPLIFICATION/PROTEIN EXPRESSION POSITIVE","pass"
"754",754,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","VINORELBINE","UNK","II","Advanced, First line","Clinical Benefit Rate (CBR) ","NCT03007992","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03007992",1,"DB00361","5311497","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"755",755,"METASTATIC BREAST CANCER","ESR1","Positive","NA","Protein Expression","ENTINOSTAT, EXEMESTANE","HDAC, aromatase","I","Advanced, Second line","Cmax, maximum plasma concentration, Tmax, time at which maximum plasma concentration was observed, AUC0-t, area under the plasma concentration-time curve from time zero to the last measurable concentration , AUC0-inf, area under the plasma concentration-time curve from time zero extrapolated to infinity, T1/2, elimination half-life, lambda z , apparent terminal phase elimination constant (λz), AUC0-τ where τ=168 hours for entinostat and τ=24 hours for exemestane , Incidence of treatment-emergent adverse events (TEAEs), serious adverse events (SAEs), AEs resulting in the permanent discontinuation of study drug, and deaths occurring within 30-days of the last dose of study drug, Changes from baseline in laboratory, vital signs, and electrocardiogram (ECG) values","NCT02820961","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02820961",1,"DB11841,DB00990","4261, 60198","ENSG00000091831","EFO_1000984","ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"756",756,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND","Protein Expression, Protein Expression, Protein Expression","PALBOCICLIB, FULVESTRANT","UNK, UNK","II","Advanced, Second line","Progression-free survival, Prevalence of ESR1 and PI3K mutations","NCT02738866","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02738866",1,"DB09073,DB00947","11478676, 104741","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION POSITIVE","pass"
"757",757,"INVASIVE BREAST CANCER (STAGE IIA-IIIC)","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","EXEMESTANE/ANASTROZOLE, GOSERELIN","UNK/UNK, UNK","III","Advanced&Non-advanced, First line","Overall response rate(ORR)","NCT02532400","Premenopause status (estradiol in premenopausal range or with normal menstrual cycle in the past 6 months with no use of hormonal drugs)","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02532400",1,"NA,DB00014","NA, 5311128","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","failed drug"
